name,ein
Alaska Cabaret Hotel Restaurant & Retailers Association,237314558
AL Restaurant & Hospitality Association,630837896
AR Hospitality Association,710441069
AZ Restaurant Association,860599958
CA Restaurant Association,951241045
CO Restaurant Association,840503735
CT Restaurant Association,060872410
DE Restaurant Association,510248572
FL Restaurant & Lodging Association,590571930
GA Restaurant Association,383670102
HI Restaurant Association,237057621
Hospitality Minnesota,410418382
IA Restaurant Association,420637480
ID Lodging & Restaurant Association,510152425
IL Restaurant Association,360904760
IN Restaurant & Lodging Association,350411202
KS Restaurant & Hospitality Association,480533202
KY Restaurant Association,610620236
LA Restaurant Association,720362855
MA Restaurant Association,041591041
MI Restaurant & Lodging Association,381222731
MO Restaurant Association,440569768
MS Hospitality & Restaurant Association,640388196
MT Restaurant Association,810412909
NC Restaurant & Lodging Association,560492569
NE Hospitality Association,470492308
NH Restaurant & Lodging Association,020216783
NJ Restaurant Association,221153767
NM Restaurant Association,850111356
NV Restaurant Association,942860376
NY Restaurant Association,131101544
OH Restaurant Association,314271670
OK Restaurant Association,730383792
OR Restaurant & Lodging Association,930514708
PA Restaurant & Lodging Association,231257570
RI Hospitality Association,050399474
Restaurant Association of Maryland,520458660
Restaurant Association of Metro Washington,530163480
SC Restaurant & Lodging Association,570342869
SD Retailers Association,460181800
TN Hospitality & Tourism Association,620381125
TX Restaurant Association,740921350
UT Restaurant Association,870299605
VA Restaurant Lodging & Travel Association,541285571
VT Chamber of Commerce,030184299
WA Hospitality Association,910586362
WI Restaurant Association,390715690
WV Hospitality & Travel Association,550691318
WY Hospitality & Travel Coalition,830204942
AGC WA (Associated General Contractors of WA),910911236
Archbright,910522849
Association of Washington Cities,916000045
Association of Washington Business,910496803
Building Industry Association of Washington,916087698
GoWest Credit Union Association,910460483
Master Builders Assoc. of King & Snohomish Counties,910658930
Merchant Risk Council,134142147
Seattle Hotel-Motel Association,911695225
Seattle-King County Convention and Visitors Bureau,911644435
Greater Seattle Chamber of Commerce,910402330
Washington Forest Protection Association,910460820
Washington Health Care Association,911308743
Washington Roundtable,911215738
Washington State Association for Justice,237068627
Washington State Association of Counties,916056479
Washington State Dental Association,910750294
Washington State Farm Bureau Federation,910462136
Washington State Hospital Association,910584257
Washington State Medical Association,910462170
Washington Technology Industry Association,911427013
